Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,5,0.01,0.01,-6.382779745718348,-4.848463183175488,0.22498685750375724,-4.239581694798263,-0.1525210368075971
100% Corpus,5,0.01,0.1,-6.263274587004245,-4.928800819413482,0.23802674236873803,-4.253217607813913,-0.1525289443244327
100% Corpus,5,0.01,0.5,-6.218811534114253,-4.611056493182685,0.24091192664028097,-3.993123986486412,-0.1418813547867418
100% Corpus,5,0.01,1,-6.214480649947032,-4.409159436913578,0.23298528658747192,-3.7194276125595893,-0.1299819866163755
100% Corpus,5,0.01,symmetric,-6.237919054032559,-4.783465382216902,0.23934721423373978,-4.021606034433041,-0.14258373257074558
100% Corpus,5,0.1,0.01,-6.37477007269592,-4.795069061690714,0.23226403581947896,-4.113139480100786,-0.14746809239507427
100% Corpus,5,0.1,0.1,-6.255667818100042,-4.926455953937731,0.2398548071589604,-4.205394814491755,-0.15019893808593604
100% Corpus,5,0.1,0.5,-6.212636841514092,-4.7082572593914165,0.24738431764899863,-4.049314374874787,-0.14260768141322572
100% Corpus,5,0.1,1,-6.212821368681051,-4.531427675100497,0.23992968195528236,-3.7922076683269026,-0.133513259669986
100% Corpus,5,0.1,symmetric,-6.231258615240977,-4.929630669595922,0.23985480715896035,-4.205394814491755,-0.15019893808593604
100% Corpus,5,0.5,0.01,-6.40758832758083,-4.728217423254856,0.23496033241940134,-4.087341453298535,-0.14444525386528256
100% Corpus,5,0.5,0.1,-6.287586233295661,-4.70496102145665,0.23701820870045873,-4.068218582662473,-0.14429852741755345
100% Corpus,5,0.5,0.5,-6.244009570467825,-4.870770556744846,0.24077307569278536,-4.178349878375647,-0.14693276274167752
100% Corpus,5,0.5,1,-6.24449570540494,-4.6555855206687875,0.23100891836846302,-4.062649481958861,-0.14133873569400707
100% Corpus,5,0.5,symmetric,-6.262653365695982,-4.778184060985382,0.2381929004007913,-4.096305690802385,-0.14480872734622208
100% Corpus,5,1,0.01,-6.435587227690167,-4.80188835280529,0.23663481453443608,-3.9804551628808524,-0.13950451411164957
100% Corpus,5,1,0.1,-6.314145571647401,-4.740261171201811,0.23329900310393675,-3.9576221384140644,-0.1398469149764788
100% Corpus,5,1,0.5,-6.269070973042719,-4.799351995835409,0.2369439441840817,-3.9315794361062837,-0.13792952169327605
100% Corpus,5,1,1,-6.26969986090221,-5.217880255790483,0.24962515864902257,-4.3824334816854575,-0.15239984308372762
100% Corpus,5,1,symmetric,-6.288392166356554,-4.738929679975705,0.23329900310393675,-3.9576221384140644,-0.1398469149764788
100% Corpus,5,symmetric,0.01,-6.3841035540950255,-4.779817671085555,0.2356371486683114,-4.0451434724310555,-0.14471556219605702
100% Corpus,5,symmetric,0.1,-6.264953044036384,-4.902809888946328,0.24238570650637067,-4.18436704277878,-0.14931715462453882
100% Corpus,5,symmetric,0.5,-6.222148747106979,-4.665176011135864,0.2438783361947162,-3.9917004441389112,-0.1406670317026328
100% Corpus,5,symmetric,1,-6.223699191571904,-4.6686571797934935,0.2380311993214758,-3.9413863756583516,-0.13779828854169782
100% Corpus,5,symmetric,symmetric,-6.240207918914539,-4.850322119115871,0.24129553304898677,-4.247264706453441,-0.1514792343833761
100% Corpus,5,asymmetric,0.01,-6.383700122376435,-4.976777976836321,0.24651348272112558,-4.285719178140496,-0.15074425300021058
100% Corpus,5,asymmetric,0.1,-6.265452131318592,-4.89567678615276,0.24419613362550702,-4.16135143367568,-0.1461214515252822
100% Corpus,5,asymmetric,0.5,-6.223527080719795,-4.7728009831394935,0.2458196230832334,-4.064872702618075,-0.1419573221757189
100% Corpus,5,asymmetric,1,-6.224261345990912,-4.824887917232198,0.2390214676968511,-3.881193097039759,-0.13562925628691896
100% Corpus,5,asymmetric,symmetric,-6.241081327648365,-4.922251217229404,0.24646999558260876,-4.193808245541933,-0.14672682317942862
100% Corpus,10,0.01,0.01,-6.346953559782148,-5.53440496189476,0.2647301977276835,-4.39968326418519,-0.14291270836723216
100% Corpus,10,0.01,0.1,-6.141407292201939,-5.498498943048016,0.2650048429997967,-4.341552279226919,-0.14046167082467703
